12TH AV 	200 - 299 	L ST - K ST 	Not Posted, NS Thu & SS Fri
LAW ST 	1000 - 1099 	CASS ST - DAWES ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
LAW ST 	1100 - 1199 	DAWES ST - EVERTS ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
LAW ST 	1200 - 1299 	EVERTS ST - FANUEL ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
LAW ST 	1300 - 1399 	FANUEL ST - GRESHAM ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
LAW ST 	1400 - 1499 	GRESHAM ST - HAINES ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
LAW ST 	1500 - 1599 	HAINES ST - INGRAHAM ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
LAW ST 	1600 - 1699 	INGRAHAM ST - JEWELL ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
LAW ST 	1700 - 1799 	JEWELL ST - KENDALL ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
LAW ST 	1800 - 1899 	KENDALL ST - LAMONT ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
LAW ST 	1900 - 2099 	LAMONT ST - ACADEMY ST 	Posted (7am - 10am), NS 1st Thu, SS 1st Wed
LAW ST 	600 - 699 	OCEAN BL - DIXIE DR 	Posted (12am - 3am), WS Mon, ES Fri
LAW ST 	700 - 799 	DIXIE DR - MISSION BL 	Posted (12am - 3am), WS Mon, ES Fri
LAW ST 	800 - 899 	MISSION BL - BAYARD ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
LAW ST 	900 - 999 	BAYARD ST - CASS ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
LAWRENCE ST 	2800 - 2899 	BEGIN - SAN ANTONIO AV 	Not Posted, Both Sides Even Month 4th Wed
LAWRENCE ST 	2900 - 2999 	SAN ANTONIO AV - ROSECRANS ST 	Not Posted, Both Sides Even Month 4th Wed
LAWRENCE ST 	3000 - 3099 	ROSECRANS ST - SAN ELIJO ST 	Not Posted, Both Sides Even Month 4th Wed
LAWRENCE ST 	3100 - 3199 	SAN ELIJO ST - SAN FERNANDO ST 	Not Posted, Both Sides Even Month 4th Wed
LEATHERS ST 	4530 - 4569 	BEGIN - ARIANE DR 	Not Posted, Both Sides Odd Month 3rd Tue
LEATHERS ST 	4570 - 4699 	ARIANE DR - MURAT ST 	Not Posted, Both Sides Odd Month 3rd Tue
LEATHERS ST 	4700 - 4799 	MURAT ST - END 	Not Posted, Both Sides Odd Month 3rd Tue
LEHIGH ST 	1300 - 1399 	MORENA BL - TONOPAH AV 	Not Posted, Both Sides Odd Month 1st Tue
LELAND ST 	3600 - 3699 	KEMPER ST - MARQUETTE ST 	Not Posted, Both Sides Odd Month 1st Wed
LELAND ST 	3700 - 3769 	MARQUETTE ST - CALYPSO PL 	Not Posted, Both Sides Odd Month 1st Wed
LELAND ST 	3770 - 3799 	CALYPSO PL - POINSETTIA DR 	Not Posted, Both Sides Odd Month 1st Wed
LELAND ST 	3800 - 3951 	POINSETTIA DR - WORDEN ST 	Not Posted, Both Sides Odd Month 1st Wed
LEON ST 	4400 - 4499 	NOVARA ST - GUIZOT ST 	Not Posted, Both Sides Even Month 4th Wed
LEON ST 	4500 - 4599 	GUIZOT ST - DEVONSHIRE DR 	Not Posted, Both Sides Even Month 4th Wed
LEROY ST 	1000 - 1059 	TALBOT ST - HILL ST 	Not Posted, Both Sides Even Month 4th Wed
LEROY ST 	1060 - 1099 	HILL ST - TRUMBULL ST 	Not Posted, Both Sides Even Month 4th Wed
LIETA ST 	1300 - 1499 	TONOPAH AV - ASHER ST 	Not Posted, Both Sides Odd Month 1st Tue
LIETA ST 	1500 - 1599 	ASHER ST - DENVER ST 	Not Posted, Both Sides Odd Month 1st Tue
LIGGETT DR 	3500 - 3599 	CLOVE ST - GARRISON ST 	Not Posted, Both Sides Even Month 4th Wed
LIGGETT DR 	3600 - 3629 	GARRISON ST - CARLETON ST 	Not Posted, Both Sides Even Month 4th Wed
LIGGETT DR 	3630 - 3700 	CARLETON ST - FENELON ST 	Not Posted, Both Sides Even Month 4th Wed
LIGGETT DR 	3701 - 3799 	FENELON ST - DEL MAR AV 	Not Posted, Both Sides Even Month 4th Wed
LIGGETT DR 	3800 - 3861 	DEL MAR AV - LIGGETT WY 	Not Posted, Both Sides Even Month 4th Wed
LIGGETT DR 	3862 - 3899 	LIGGETT WY - POINT LOMA AV 	Not Posted, Both Sides Even Month 4th Wed
LIGGETT DR 	3900 - 4079 	POINT LOMA AV - VARONA ST 	Not Posted, Both Sides Even Month 1st Wed
LIGGETT WY 	1400 - 1449 	BEGIN - LIGGETT DR 	Not Posted, Both Sides Even Month 4th Wed
LIGGETT WY 	1450 - 1499 	LIGGETT DR - END 	Not Posted, Both Sides Even Month 4th Wed
LILLIAN ST 	4900 - 4959 	GERTRUDE ST - VIOLA ST 	Not Posted, Both Sides Odd Month 1st Tue
LILLIAN ST 	4960 - 4999 	VIOLA ST - DORCAS ST 	Not Posted, Both Sides Odd Month 1st Tue
LINDA VISTA RD 	5100 - 5199 	MORENA BL - NAPA ST 	Not Posted, Both Sides Wed
LINDA VISTA RD 	5200 - 5259 	NAPA ST - METRO ST 	Not Posted, Both Sides Wed
LINDA VISTA RD 	5260 - 5399 	METRO ST - MOLLIE ST 	Not Posted, Both Sides Wed
LINDA VISTA RD 	5400 - 5449 	MOLLIE ST - MARIAN WY 	Not Posted, Both Sides Wed
LINDA VISTA RD 	5450 - 5649 	MARIAN WY - JOSEPHINE ST 	Not Posted, Both Sides Wed
LINDA VISTA RD 	5650 - 5699 	JOSEPHINE ST - COLUSA ST 	Not Posted, Both Sides Wed
LINDA VISTA RD 	5700 - 5799 	COLUSA ST - BRUNNER ST 	Not Posted, Both Sides Wed
LINDA VISTA RD 	5800 - 5899 	BRUNNER ST - GOSHEN ST 	Not Posted, Both Sides Wed
LINDA VISTA RD 	5900 - 5969 	GOSHEN ST - USD MAIN DY 	Not Posted, Both Sides Wed
LINDA VISTA RD 	5970 - 6329 	USD MAIN DY - VIA LAS CUMBRES 	Not Posted, Both Sides Wed
LISANN ST 	4530 - 4569 	BEGIN - ARIANE DR 	Not Posted, Both Sides Odd Month 3rd Tue
LISANN ST 	4570 - 4599 	ARIANE DR - ABER ST 	Not Posted, Both Sides Odd Month 3rd Tue
LISANN ST 	4600 - 4699 	ABER ST - MURAT ST 	Not Posted, Both Sides Odd Month 3rd Tue
LISTER ST 	4100 - 4199 	MORENA BL - CHICAGO ST 	Not Posted, Both Sides Odd Month 3rd Tue
LISTER ST 	4200 - 4299 	CHICAGO ST - DENVER ST 	Not Posted, Both Sides Odd Month 3rd Tue
LISTER ST 	4300 - 4399 	DENVER ST - ERIE ST 	Not Posted, Both Sides Odd Month 3rd Tue
LISTER ST 	4400 - 4499 	ERIE ST - FRANKFORT ST 	Not Posted, Both Sides Odd Month 3rd Tue
LISTER ST 	4500 - 4599 	FRANKFORT ST - GALVESTON ST 	Not Posted, Both Sides Odd Month 3rd Tue
LISTER ST 	4750 - 4799 	BEGIN - ILLION ST 	Not Posted, Both Sides Odd Month 3rd Tue
LISTER ST 	5000 - 5049 	GRANDVIEW ST - BURGENER BL 	Not Posted, Both Sides Even Month 4th Thu
LISTER ST 	5050 - 5099 	BURGENER BL - DEERPARK DR 	Not Posted, Both Sides Even Month 4th Thu
LISTER ST 	5100 - 5199 	DEERPARK DR - COWLEY WY 	Not Posted, Both Sides Even Month 4th Thu
LITTLEFIELD ST 	4100 - 4189 	MORENA BL - CHICAGO ST 	Not Posted, Both Sides Odd Month 1st Tue
LITTLEFIELD ST 	4190 - 4199 	CHICAGO ST - GOLDFIELD ST 	Not Posted, Both Sides Odd Month 1st Tue
LITTLEFIELD ST 	4200 - 4249 	GOLDFIELD ST - GOLDFIELD ST 	Not Posted, Both Sides Odd Month 1st Tue
LITTLEFIELD ST 	4250 - 4299 	GOLDFIELD ST - DENVER ST 	Not Posted, Both Sides Odd Month 1st Tue
LITTLEFIELD ST 	4300 - 4399 	DENVER ST - ERIE ST 	Not Posted, Both Sides Odd Month 1st Tue
LITTLEFIELD ST 	4400 - 4499 	ERIE ST - FRANKFORT ST 	Not Posted, Both Sides Odd Month 1st Tue
LITTLEFIELD ST 	4600 - 4699 	GALVESTON ST - BERVY ST 	Not Posted, Both Sides Odd Month 1st Tue
LITTLEFIELD ST 	4700 - 4799 	BERVY ST - KNOXVILLE ST 	Not Posted, Both Sides Odd Month 1st Tue
LLOYD PL 	3600 - 3699 	LLOYD ST - END 	Not Posted, Both Sides Even Month 4th Thu
LLOYD ST 	2800 - 2899 	GESNER ST - COBRIDGE WY 	Not Posted, Both Sides Even Month 4th Thu
LLOYD ST 	2900 - 2999 	COBRIDGE WY - EDISON ST 	Not Posted, Both Sides Even Month 4th Thu
LLOYD ST 	3000 - 3099 	EDISON ST - LLOYD TR 	Not Posted, Both Sides Even Month 4th Thu
LLOYD ST 	3100 - 3349 	LLOYD TR - LLOYD PL 	Not Posted, Both Sides Even Month 4th Thu
LLOYD ST 	3350 - 3399 	LLOYD PL - BAKER ST 	Not Posted, Both Sides Even Month 4th Thu
LLOYD TR 	3600 - 3699 	BEGIN - LLOYD ST 	Not Posted, Both Sides Even Month 4th Thu
LOCUST ST 	1100 - 1149 	CANON ST - AVNDA DE PORTUGAL 	Not Posted, Both Sides Even Month 4th Wed
LOCUST ST 	1150 - 1199 	AVNDA DE PORTUGAL - BYRON ST 	Not Posted, Both Sides Even Month 4th Wed
LOCUST ST 	1200 - 1249 	BYRON ST - CARLETON ST 	Not Posted, Both Sides Even Month 4th Wed
LOCUST ST 	1250 - 1299 	CARLETON ST - DICKENS ST 	Not Posted, Both Sides Even Month 4th Wed
LOCUST ST 	1300 - 1349 	DICKENS ST - EMERSON ST 	Not Posted, Both Sides Even Month 4th Wed
LOCUST ST 	1350 - 1399 	EMERSON ST - FENELON ST 	Not Posted, Both Sides Even Month 4th Wed
LOCUST ST 	1400 - 1449 	FENELON ST - GARRISON ST 	Not Posted, Both Sides Even Month 4th Wed
LOCUST ST 	1450 - 1499 	GARRISON ST - HUGO ST 	Not Posted, Both Sides Even Month 4th Wed
LOCUST ST 	1500 - 1549 	HUGO ST - INGELOW ST 	Not Posted, Both Sides Even Month 4th Wed
LOCUST ST 	1550 - 1599 	INGELOW ST - JARVIS ST 	Not Posted, Both Sides Even Month 4th Wed
LOCUST ST 	1600 - 1649 	JARVIS ST - KEATS ST 	Not Posted, Both Sides Even Month 4th Wed
LOCUST ST 	1650 - 1699 	KEATS ST - NIMITZ BL 	Not Posted, Both Sides Even Month 4th Wed
LOCUST ST 	1700 - 1749 	NIMITZ BL - MACAULAY ST 	Not Posted, Both Sides Even Month 4th Wed
LOCUST ST 	1750 - 1799 	MACAULAY ST - NEWELL ST 	Not Posted, Both Sides Even Month 4th Wed
LOCUST ST 	1800 - 1849 	NEWELL ST - OLIPHANT ST 	Not Posted, Both Sides Even Month 4th Wed
LOCUST ST 	1850 - 1899 	OLIPHANT ST - POE ST 	Not Posted, Both Sides Even Month 4th Wed
LOCUST ST 	1900 - 1949 	POE ST - QUIMBY ST 	Not Posted, Both Sides Even Month 4th Wed
LOCUST ST 	1950 - 1999 	QUIMBY ST - RUSSELL ST 	Not Posted, Both Sides Even Month 4th Wed
LOCUST ST 	2200 - 2299 	BEGIN - XENOPHON ST 	Not Posted, Both Sides Even Month 1st Wed
LOCUST ST 	2400 - 2449 	ZOLA ST - ALCOTT ST 	Not Posted, Both Sides Even Month 1st Wed
LOCUST ST 	2450 - 2499 	ALCOTT ST - BROWNING ST 	Not Posted, Both Sides Even Month 1st Wed
LOCUST ST 	2500 - 2549 	BROWNING ST - CURTIS ST 	Not Posted, Both Sides Even Month 1st Wed
LOCUST ST 	2550 - 2599 	CURTIS ST - DUMAS ST 	Not Posted, Both Sides Even Month 1st Wed
LOCUST ST 	2600 - 2649 	DUMAS ST - ELLIOTT ST 	Not Posted, Both Sides Even Month 1st Wed
LOCUST ST 	2650 - 2699 	ELLIOTT ST - FREEMAN ST 	Not Posted, Both Sides Odd Month 1st Wed
LOCUST ST 	2700 - 2749 	FREEMAN ST - GOLDSMITH ST 	Not Posted, Both Sides Odd Month 1st Wed
LOCUST ST 	2750 - 2799 	GOLDSMITH ST - HOMER ST 	Not Posted, Both Sides Odd Month 1st Wed
LOCUST ST 	2800 - 2849 	HOMER ST - IBSEN ST 	Not Posted, Both Sides Odd Month 1st Wed
LOCUST ST 	2850 - 2899 	IBSEN ST - JAMES ST 	Not Posted, Both Sides Odd Month 1st Wed
LOCUST ST 	2900 - 2949 	JAMES ST - KINGSLEY ST 	Not Posted, Both Sides Odd Month 1st Wed
LOCUST ST 	2950 - 2999 	KINGSLEY ST - LYTTON ST 	Not Posted, Both Sides Odd Month 1st Wed
LOCUST ST 	3000 - 3039 	LYTTON ST - SHADOWLAWN ST 	Not Posted, Both Sides Odd Month 1st Wed
LOCUST ST 	3040 - 3049 	SHADOWLAWN ST - RANLEIGH CT 	Not Posted, Both Sides Odd Month 1st Wed
LOMA RIVIERA DR 	3000 - 3019 	WEST POINT LOMA BL - LOMA RIVIERA LN 	Not Posted, Both Sides 2nd Fri
LOMA RIVIERA DR 	3020 - 3099 	LOMA RIVIERA LN - LOMA RIVIERA CR 	Not Posted, Both Sides 2nd Fri
LOMA RIVIERA DR 	3100 - 3199 	LOMA RIVIERA CR - LOMA RIVIERA CR 	Not Posted, Both Sides 2nd Fri
LOMA RIVIERA DR 	3200 - 3229 	LOMA RIVIERA CR - LOMA RIVIERA CT 	Not Posted, Both Sides 2nd Fri
LOMA RIVIERA DR 	3230 - 3259 	LOMA RIVIERA CT - LOMA RIVIERA CT 	Not Posted, Both Sides 2nd Fri
LOMA RIVIERA DR 	3260 - 3299 	LOMA RIVIERA CT - CAMULOS ST 	Not Posted, Both Sides 2nd Fri
LOMA VALLEY PL 	800 - 899 	JENNINGS ST - END 	Not Posted, Both Sides Even Month 4th Wed
LOMA VALLEY RD 	700 - 899 	CHARLES ST - JENNINGS ST 	Not Posted, Both Sides Even Month 4th Wed
LOMA WY 	3600 - 3699 	MANOR WY - POINT ST 	Not Posted, Both Sides Even Month 1st Wed
LOMALAND DR 	0 - 0 	CATALINA BL - CATALINA RD 	Not Posted, Both Sides Even Month 1st Wed
LOMALAND DR 	3800 - 3849 	CATALINA RD - TEMPLE ST 	Not Posted, Both Sides Even Month 1st Wed
LOMALAND DR 	3850 - 3899 	TEMPLE ST - TARENTO DR 	Not Posted, Both Sides Even Month 1st Wed
LOMALAND DR 	3900 - 3931 	TARENTO DR - MOANA DR 	Not Posted, Both Sides Even Month 1st Wed
LONG BRANCH AV 	4300 - 4399 	BEGIN - VENICE ST 	Not Posted, Both Sides Even Month 4th Wed
LONG BRANCH AV 	4400 - 4499 	VENICE ST - GUIZOT ST 	Not Posted, Both Sides Even Month 4th Wed
LONG BRANCH AV 	4500 - 4599 	GUIZOT ST - FROUDE ST 	Not Posted, Both Sides 1st Wed
LONG BRANCH AV 	4600 - 4699 	FROUDE ST - EBERS ST 	Not Posted, Both Sides 1st Wed
LONG BRANCH AV 	4700 - 4799 	EBERS ST - SUNSET CLIFFS BL 	Not Posted, Both Sides 1st Wed
LONG BRANCH AV 	4800 - 4899 	SUNSET CLIFFS BL - CABLE ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LONG BRANCH AV 	4900 - 4999 	CABLE ST - BACON ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LONG BRANCH AV 	5000 - 5099 	BACON ST - ABBOTT ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LONG BRANCH AV 	5100 - 5199 	ABBOTT ST - SPRAY ST 	Posted (7am - 10am), NS Fri, SS Wed
LORING ST 	1000 - 1099 	CASS ST - DAWES ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
LORING ST 	1100 - 1199 	DAWES ST - EVERTS ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
LORING ST 	1200 - 1299 	EVERTS ST - FANUEL ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
LORING ST 	1300 - 1399 	FANUEL ST - GRESHAM ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
LORING ST 	1400 - 1499 	GRESHAM ST - FOOTHILL BL 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
LORING ST 	1500 - 1529 	FOOTHILL BL - WINDSOR DR 	Not Posted, Both Sides Odd Month 3rd Wed
LORING ST 	1530 - 1649 	WINDSOR DR - COLLINGWOOD DR 	Not Posted, Both Sides Odd Month 3rd Wed
LORING ST 	1900 - 2005 	LAMONT ST - END 	Not Posted, Both Sides Odd Month 3rd Wed
LORING ST 	2200 - 2299 	SOLEDAD MTN RD - PENDLETON ST 	Not Posted, Both Sides Odd Month 3rd Wed
LORING ST 	2300 - 2399 	PENDLETON ST - QUINCY ST 	Not Posted, Both Sides Odd Month 3rd Wed
LORING ST 	2400 - 2499 	QUINCY ST - LA MARQUE ST 	Not Posted, Both Sides Odd Month 3rd Wed
LORING ST 	2500 - 2509 	LA MARQUE ST - RANDALL ST 	Not Posted, Both Sides Odd Month 3rd Wed
LORING ST 	2510 - 2527 	RANDALL ST - SAN JOAQUIN DR 	Not Posted, Both Sides Odd Month 3rd Wed
LORING ST 	2528 - 2549 	SAN JOAQUIN DR - SAN JOAQUIN DR 	Not Posted, Both Sides Odd Month 3rd Wed
LORING ST 	2550 - 2599 	SAN JOAQUIN DR - SAN AQUARIO DR 	Not Posted, Both Sides Odd Month 3rd Wed
LORING ST 	2600 - 2699 	SAN AQUARIO DR - PACIFICA DR 	Not Posted, Both Sides Odd Month 3rd Wed
LORING ST 	600 - 699 	OCEAN BL - CRYSTAL DR 	Not Posted, Both Sides Odd Month 3rd Wed
LORING ST 	700 - 749 	CRYSTAL DR - LA JOLLA BL 	Not Posted, Both Sides Odd Month 3rd Wed
LORING ST 	750 - 799 	LA JOLLA BL - MISSION BL 	Not Posted, Both Sides Mon & Fri
LORING ST 	800 - 899 	MISSION BL - BAYARD ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
LORING ST 	900 - 929 	BAYARD ST - BAYARD ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
LORING ST 	930 - 999 	BAYARD ST - CASS ST 	Posted (10am - 1pm), NS 1st Wed, SS 1st Thur
LOS ALTOS CT 	5100 - 5199 	LOS ALTOS RD - END 	Not Posted, Both Sides Odd Month 3rd Wed
LOS ALTOS RD 	1600 - 1609 	KATE SESSIONS WY - JEWELL ST 	Not Posted, Both Sides Odd Month 3rd Wed
LOS ALTOS RD 	1610 - 1629 	JEWELL ST - COLLINGWOOD DR 	Not Posted, Both Sides Odd Month 3rd Wed
LOS ALTOS RD 	1630 - 1639 	COLLINGWOOD DR - END 	Not Posted, Both Sides Odd Month 3rd Wed
LOS ALTOS RD 	1640 - 1649 	BEGIN - LOS ALTOS WY 	Not Posted, Both Sides Odd Month 3rd Wed
LOS ALTOS RD 	1650 - 1651 	LOS ALTOS WY - CASSANDRA LN 	Not Posted, Both Sides Odd Month 3rd Wed
LOS ALTOS RD 	1652 - 1659 	CASSANDRA LN - ALTA VISTA ST 	Not Posted, Both Sides Odd Month 3rd Wed
LOS ALTOS RD 	1660 - 1679 	ALTA VISTA ST - LOS ALTOS CT 	Not Posted, Both Sides Odd Month 3rd Wed
LOS ALTOS RD 	1680 - 1699 	LOS ALTOS CT - END 	Not Posted, Both Sides Odd Month 3rd Wed
LOS ALTOS WY 	1700 - 1799 	LOS ALTOS RD - SOLEDAD RD 	Not Posted, Both Sides Odd Month 3rd Wed
LOTUS DR 	3600 - 3699 	HYACINTH DR - AMARYLLIS DR 	Not Posted, Both Sides Odd Month 1st Wed
LOTUS DR 	3700 - 3739 	AMARYLLIS DR - JONQUIL DR 	Not Posted, Both Sides Odd Month 1st Wed
LOTUS DR 	3740 - 3799 	JONQUIL DR - POINSETTIA DR 	Not Posted, Both Sides Odd Month 1st Wed
LOTUS ST 	4600 - 4699 	FROUDE ST - EBERS ST 	Not Posted, Both Sides 1st Wed
LOTUS ST 	4700 - 4799 	EBERS ST - SUNSET CLIFFS BL 	Not Posted, Both Sides 1st Wed
LOTUS ST 	4800 - 4899 	SUNSET CLIFFS BL - CABLE ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LOTUS ST 	5000 - 5099 	BACON ST - ABBOTT ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LOTUS ST 	5100 - 5149 	ABBOTT ST - WEST POINT LOMA BL 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
LOVELOCK ST 	5200 - 5299 	BEGIN - SHERMAN ST 	Not Posted, Both Sides Wed
LOWELL ST 	3200 - 3299 	EVERGREEN ST - WILLOW ST 	Not Posted, Both Sides Even Month 4th Wed
LOWELL ST 	3300 - 3399 	WILLOW ST - PLUM ST 	Not Posted, Both Sides Even Month 4th Wed
LOWELL ST 	3400 - 3499 	PLUM ST - LOWELL WY 	Not Posted, Both Sides Even Month 4th Wed
LOWELL ST 	3500 - 3559 	LOWELL WY - END 	Not Posted, Both Sides Even Month 4th Wed
LOWELL WY 	3400 - 3599 	LOWELL ST - END 	Not Posted, Both Sides Even Month 4th Wed
LUCERNE DR 	2200 - 2349 	POINSETTIA DR - ZOLA ST 	Not Posted, Both Sides Even Month 1st Wed
LUCINDA ST 	3200 - 3299 	HARBOR VIEW PL - GOLDEN PARK AV 	Not Posted, Both Sides Even Month 4th Wed
LUCINDA ST 	3300 - 3399 	GOLDEN PARK AV - BANGOR ST 	Not Posted, Both Sides Even Month 4th Wed
LUNA AV 	2600 - 2759 	MONONGAHELA ST - EPINETTE AV 	Not Posted, Both Sides Odd Month 3rd Tue
LUNA AV 	2760 - 2799 	EPINETTE AV - FARGO AV 	Not Posted, Both Sides Odd Month 3rd Tue
LUNA AV 	2800 - 2879 	FARGO AV - GALLATIN WY 	Not Posted, Both Sides Odd Month 3rd Tue
LUNA AV 	2880 - 2899 	GALLATIN WY - NAUGATUCK AV 	Not Posted, Both Sides Odd Month 3rd Tue
LUNA AV 	2900 - 2999 	NAUGATUCK AV - HIDALGO AV 	Not Posted, Both Sides Odd Month 3rd Tue
LUNA AV 	3000 - 3199 	HIDALGO AV - JUTLAND DR 	Not Posted, Both Sides Odd Month 3rd Tue
LUNA AV 	3200 - 3229 	JUTLAND DR - CLAIREMONT MESA BL 	Not Posted, Both Sides Even Month 3rd Tue
LYTTON ST 	2700 - 2799 	BARNETT AV - SELLERS PZ 	Not Posted, Both Sides Mon
LYTTON ST 	2800 - 2999 	ST CHARLES ST - ROSECRANS ST 	Not Posted, Both Sides Mon
LYTTON ST 	3000 - 3099 	ROSECRANS ST - LOCUST ST 	Not Posted, Both Sides Tue
LYTTON ST 	3100 - 3199 	LOCUST ST - EVERGREEN ST 	Not Posted, Both Sides Tue
LYTTON ST 	3200 - 3299 	EVERGREEN ST - CHATSWORTH BL 	Not Posted, Both Sides Tue
MABON PL 	3600 - 3699 	BEGIN - POCAHONTAS AV 	Not Posted, Both Sides Even Month 4th Thu
MACAULAY ST 	3000 - 3099 	ROSECRANS ST - LOCUST ST 	Not Posted, Both Sides Even Month 4th Wed
MACAULAY ST 	3100 - 3199 	LOCUST ST - EVERGREEN ST 	Not Posted, Both Sides Even Month 4th Wed
MACAULAY ST 	3200 - 3249 	EVERGREEN ST - END 	Not Posted, Both Sides Even Month 4th Wed
MACAULAY ST 	3300 - 3399 	BEGIN - PLUM ST 	Not Posted, Both Sides Even Month 4th Wed
MACAULAY ST 	3400 - 3499 	PLUM ST - CLOVE ST 	Not Posted, Both Sides Even Month 4th Wed
MACAULAY ST 	3500 - 3549 	CLOVE ST - TUSTIN ST 	Not Posted, Both Sides Even Month 4th Wed
MACAULAY ST 	3550 - 3599 	TUSTIN ST - CAPISTRANO ST 	Not Posted, Both Sides Even Month 4th Wed
MACAULAY ST 	3600 - 3609 	CAPISTRANO ST - NARRAGANSETT AV 	Not Posted, Both Sides Even Month 4th Wed
MACAULAY ST 	3610 - 3649 	NARRAGANSETT AV - MENDOTA ST 	Not Posted, Both Sides Even Month 4th Wed
MACAULAY ST 	3650 - 3699 	MENDOTA ST - CHATSWORTH BL 	Not Posted, Both Sides Even Month 4th Wed
MACTIBBY ST 	3700 - 3739 	BALTIMORE ST - BALTIMORE ST 	Not Posted, Both Sides Even Month 4th Thu
MACTIBBY ST 	3740 - 3799 	BALTIMORE ST - CHICAGO ST 	Not Posted, Both Sides Even Month 4th Thu
MADRID ST 	3000 - 3199 	ROSECRANS ST - EVERGREEN ST 	Not Posted, Both Sides Odd Month 1st Wed
MADRID ST 	3200 - 3299 	EVERGREEN ST - MEADOW GROVE DR 	Not Posted, Both Sides Odd Month 1st Wed
MAGDALENE WY 	1800 - 1999 	BERVY ST - ORTEN ST 	Not Posted, Both Sides Odd Month 3rd Tue
MAGNOLIA AV 	2600 - 2699 	BEGIN - BOND ST 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
MAGNOLIA AV 	2700 - 2749 	BOND ST - FIGUEROA BL 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
MAGNOLIA AV 	2750 - 2899 	FIGUEROA BL - MISSION BAY DR 	Posted (10am - 1pm), NS 1st Thu, SS 1st Wed
MALAGA ST 	3000 - 3199 	ROSECRANS ST - EVERGREEN ST 	Not Posted, Both Sides Odd Month 1st Wed
MALDEN ST 	1600 - 1699 	COLLINGWOOD DR - JEWELL ST 	Not Posted, Both Sides Odd Month 3rd Wed
MALDEN ST 	1700 - 1799 	JEWELL ST - KENDALL ST 	Not Posted, Both Sides Odd Month 3rd Wed
MALDEN ST 	1800 - 1849 	KENDALL ST - EMELENE ST 	Not Posted, Both Sides Odd Month 3rd Wed
MALDEN ST 	1850 - 1899 	EMELENE ST - LAMONT ST 	Not Posted, Both Sides Odd Month 3rd Wed
MANDAN WY 	3100 - 3199 	MASSASOIT AV - JUTLAND DR 	Not Posted, Both Sides Even Month 3rd Tue
MANOR WY 	900 - 994 	TALBOT ST - LOMA WY 	Not Posted, Both Sides Even Month 1st Wed
MANOR WY 	995 - 1020 	LOMA WY - END 	Not Posted, Both Sides Even Month 1st Wed
MARCH PL 	2100 - 2139 	SEPTEMBER ST - FEBRUARY ST 	Not Posted, Both Sides Odd Month 3rd Tue
MARCH PL 	2140 - 2199 	FEBRUARY ST - END 	Not Posted, Both Sides Odd Month 3rd Tue
MARK TR 	4000 - 4099 	BEGIN - SHAWNEE RD 	Not Posted, Both Sides Even Month 4th Thu
MARQUETTE PL 	3800 - 3899 	MARQUETTE ST - END 	Not Posted, Both Sides Odd Month 1st Wed
MARQUETTE ST 	2900 - 3099 	LELAND ST - MARQUETTE PL 	Not Posted, Both Sides Odd Month 1st Wed
MARSEILLES ST 	4400 - 4499 	CORNISH DR - CORDOVA ST 	Not Posted, Both Sides Even Month 4th Wed
MARTINEZ ST 	900 - 3399 	HARBOR VIEW DR - TALBOT ST 	Not Posted, Both Sides Even Month 4th Wed
MASSASOIT AV 	2950 - 2999 	BEGIN - HIDALGO AV 	Not Posted, Both Sides Even Month 3rd Tue
MASSASOIT AV 	3000 - 3099 	HIDALGO AV - MANDAN WY 	Not Posted, Both Sides Even Month 3rd Tue
MASSASOIT AV 	3100 - 3199 	MANDAN WY - NAUGATUCK AV 	Not Posted, Both Sides Even Month 3rd Tue
MAYO ST 	4200 - 4299 	CHICAGO ST - DENVER ST 	Not Posted, Both Sides Odd Month 3rd Tue
